time,phaseBit,mass-dynamics,E1FiringBit,E2FiringBit,E3FiringBit,E4FiringBit,CengFirBit - NA,Engine1-Thrust,Engine2-Thrust,Engine3-Thrust,Engine4-Thrust,CentalEngine-Thrust - NA,EngTorque-Yaw,EngTorque-Roll,EngTorque-Pitch,Dynamics-MCMFPA-rVector-x,Dynamics-MCMFPA-rVector-y,Dynamics-MCMFPA-rVector-z,Dynamics-MCMFPA-vVector-vx,Dynamics-MCMFPA-vVector-vy,Dynamics-MCMFPA-vVector-vz,qbody-1,qbody-2,qbody-3,qbody-4,wbody-1,wbody-2,wbody-3,Dynamics-latitude-ME,Dynamics-longitude-ME,Dynamics-height-ME,LanderPositionENU-East,LanderPositionENU-North,LanderPositionENU-Up(Not same as height),LanderVelocityENU-East,LanderVelocityENU-North,LanderVelocityENU-Up,-1,-1,-1,LanderHeightFromSurface (With DEM),LanderYawWRTVertical,LanderRollWRTVertical,LanderPitchWRTVertical,R1-AvgThrust,R2-AvgThrust,R3-AvgThrust,R4-AvgThrust,R5-AvgThrust,R6-AvgThrust,R7-AvgThrust,R8-AvgThrust,TotalRCSAvgThrust,NetThrustFromEngineAndRCS,DynamicsHeight(Height from mean moon surface),Dynamics-J2000-rVector-x,Dynamics-J2000-rVector-y,Dynamics-J2000-rVector-z,Dynamics-J2000-vVector-vx,Dynamics-J2000-vVector-vy,Dynamics-J2000-vVector-vz,VerticalVelocity(velocity along radial mcmf vector),arc range,"HorizontalVelocity (Net horizontal velocity, norm taken so always positive)",lNav-Dynamics-r-NUE(1),lNav-Dynamics-r-NUE(2),lNav-Dynamics-r-NUE(3),lNav-Dynamics-v-NUE(1),lNav-Dynamics-v-NUE(2),lNav-Dynamics-v-NUE(3),lNav-Qlocaldyn-1,lNav-Qlocaldyn-2,lNav-Qlocaldyn-3,lNav-Qlocaldyn-4,Usable Oxidizer Left,Usable Fuel Left,Oxidizer Consumed,Fuel Consumed,ThrusterConsumedMass (Outdated),ALSPath,local surface slope,curvilinear cross (Z) landing site distance,curvilinear along (X) landing site distance,"Net horizontal distance from landing site norm(X,Z)",ThrusterConsumedMass ,TotalAccInIIU-x,TotalAccInIIU-y,TotalAccInIIU-z,CdA-Ox-1,CdA-Ox-2,CdA-Ox-3,CdA-Ox-4,CdA-Fu-1,CdA-Fu-2,CdA-Fu-3,time
0.04,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715858,-1.16E+06,-933.587,-596.971,-1272.24,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.9679985,32.42058182,30940.8,0,0,0,-3.40013,-1687.17,-2.59459,0,0,0,30940.875,88.55732928,84.5365448,108.8883632,0,0,0,0,0,0,0,0,0,0,30940.8,0,0,0,0,0,0,0,860616.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10397.09292
0.048,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715853,-1.16E+06,-933.595,-596.976,-1272.23,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.96843719,32.420578,30940.8,0,0,0,-3.4001,-1687.17,-2.59426,0,0,0,30940.77148,88.55733155,84.5369873,108.8887999,0,0,0,0,0,0,0,0,0,0,30940.8,0,0,0,0,0,0,0,860602.8448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10396.86704
0.056,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715848,-1.16E+06,-933.603,-596.981,-1272.22,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.58E-06,-40.96887589,32.420578,30940.7,0,0,0,-3.40008,-1687.17,-2.59393,0,0,0,30940.75195,88.55733382,84.53742218,108.8892367,0,0,0,0,0,0,0,0,0,0,30940.7,0,0,0,0,0,0,0,860589.5841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10396.64019
0.064,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715843,-1.16E+06,-933.611,-596.986,-1272.21,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.96931076,32.420578,30940.7,0,0,0,-3.40006,-1687.17,-2.5936,0,0,0,30940.73047,88.55733621,84.53785706,108.8896734,0,0,0,0,0,0,0,0,0,0,30940.7,0,0,0,0,0,0,0,860576.3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10396.41482
0.072,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715839,-1.16E+06,-933.619,-596.991,-1272.2,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.96974945,32.420578,30940.7,0,0,0,-3.40003,-1687.17,-2.59327,0,0,0,30940.70898,88.55733845,84.53829956,108.8901089,0,0,0,0,0,0,0,0,0,0,30940.7,0,0,0,0,0,0,0,860563.0616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10396.17979
0.08,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715834,-1.16E+06,-933.627,-596.996,-1272.2,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.97018814,32.42057419,30940.7,0,0,0,-3.40001,-1687.17,-2.59293,0,0,0,30940.68945,88.55734075,84.53873444,108.890547,0,0,0,0,0,0,0,0,0,0,30940.7,0,0,0,0,0,0,0,860549.8008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10395.9545
0.088,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715829,-1.16E+06,-933.635,-597.001,-1272.19,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.58E-06,-40.97062302,32.42057419,30940.6,0,0,0,-3.39999,-1687.17,-2.5926,0,0,0,30940.66797,88.55734289,84.53916931,108.8909837,0,0,0,0,0,0,0,0,0,0,30940.6,0,0,0,0,0,0,0,860536.5393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10395.72763
0.096,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715824,-1.16E+06,-933.643,-597.006,-1272.18,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.97106171,32.42057419,30940.6,0,0,0,-3.39997,-1687.17,-2.59227,0,0,0,30940.64844,88.55734529,84.53961182,108.8914205,0,0,0,0,0,0,0,0,0,0,30940.6,0,0,0,0,0,0,0,860523.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10395.50226
0.104,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715819,-1.16E+06,-933.651,-597.011,-1272.17,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.9715004,32.42057037,30940.6,0,0,0,-3.39994,-1687.17,-2.59194,0,0,0,30940.62695,88.55734745,84.54004669,108.8918591,0,0,0,0,0,0,0,0,0,0,30940.6,0,0,0,0,0,0,0,860510.0165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10395.27688
0.112,11,1728.814941,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+06,715815,-1.16E+06,-933.659,-597.016,-1272.16,0.37676746,-0.6003319,-0.38972479,0.58801574,0,0,-5.55E-06,-40.97193527,32.42057037,30940.6,0,0,0,-3.39992,-1687.17,-2.59161,0,0,0,30940.60547,88.55734986,84.54048157,108.8922978,0,0,0,0,0,0,0,0,0,0,30940.6,0,0,0,0,0,0,0,860496.7557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,543,552,565,480,470,477,10395.04186
